Spanish,English
atención,attention
van,go
realidad,reality
objetivo,aim
estudio,study
mediante,through
control,control
verdad,TRUE
provincia,province
puntos,points
pueblo,town
buenos,good
sociales,social
hemos,we have
experiencia,experience
apoyo,support
hombre,man
varios,several
medios,media
resultados,results
obras,plays
local,local
chile,chili
dirección,address
realizar,carry out
deben,They must
base,base
mes,month
cuanto,how much
gestión,management
trata,treats
buen,good
municipal,municipal
siendo,being
julio,July
alguna,some
unidos,joined
trabajadores,workers
ayer,yesterday
proyectos,Projects
incluso,even
cultura,culture
esos,those
mańana,tomorrow
llegar,arrive
dicho,saying
región,region
segunda,second
población,population
plan,plan
paso,passed
mundial,world
conocer,know
participación,stake
estoy,I'm
jóvenes,youths
mujer,women
cargo,post
primero,first
administración,administration
nuevos,new
hora,hour
cuales,which
ciento,hundred
comunicación,communication
especial,special
claro,clear
pesos,pesos
espacio,space
estudios,studies
dios,God
nuevas,new
juego,game
mal,evil
encuentra,finds
cinco,five
mis,my
capital,capital
valor,worth
seguir,continue
autoridades,authorities
podría,could
justicia,justice
escuela,school
tuvo,had
mayoría,most
área,area
saber,know
luis,Luis
organización,organization
cuerpo,body
ministerio,ministry
acción,action
diciembre,December
largo,long
nadie,nobody
formación,training
encuentro,meeting
ir,go
consejo,advice
actual,current
construcción,construction
vamos,come on
necesario,necessary
capacidad,ability
acciones,Actions
noche,evening
hacen,do
ex,ex
cabo,cape
estudiantes,students
idea,idea
minutos,minutes
debido,due
mayo,May
orden,order
campo,field
octubre,October
haya,is
presencia,presence
tarde,late
modo,mode
permite,It allows
podemos,can
red,grid
temas,topics
edad,age
tenía,had
últimos,last
federal,federal
anterior,former
respuesta,answer
internet,Internet
ahí,there
puesto,position
cantidad,amount
usted,you
real,real
serie,series
existe,exists
próximo,next
dinero,money
dio,gave
principal,major
sería,I would be
materia,subject
libro,book
acceso,access
marco,frame
maría,Maria
alto,high
noviembre,November
calle,street
siguiente,following
central,central
alumnos,students
web,Web
algún,some
posibilidad,possibility
modelo,model
grupos,groups
medida,extent
soy,am
quiere,wants
cierto,TRUE
futuro,future
análisis,analysis
mano,hand
humanos,humans
instituto,Institute
superior,superior
propio,own
señor,or
santa,Holy
favor,favor
municipio,municipality
cerca,near
tierra,land
políticas,policies
programas,programs
ambiente,atmosphere
oportunidad,chance
domingo,Sunday
economía,economy
crisis,crisis
marzo,March
mejores,top
interés,interest
etc.,etc
conocimiento,knowledge
sigue,go on
necesidad,need
haciendo,doing
cosa,stuff
unas,nails
serán,will be
